name,address,phone,age,link,tags
Red Cross,2221 Chestnut Street Philadelphia   PA 19103,(215) 299-4000,all,http://www.redcross.org/pa/philadelphia/, medical
Animal Care and Control Team of Philadelphia,111 W Hunting Park Ave Philadelphia  PA 19140,(267) 385-3800,16+,http://www.acctphilly.org/,animals
Philadelphia Ronald McDonald House,3925 Chestnut St Philadelphia  PA 19104,(215) 387-8406,18+,http://www.philarmh.org/,people
Volunteers of America,"3901 Main St #102
Philadelphia PA 19127",(215) 930-0129,na,http://www.voapa.org/,none
Cradles to Crayons,30 Clipper Rd Conshohocken  PA 19428,(215) 836-0958,6+,http://www.cradlestocrayons.org/philadelphia/volunteer, education
Crossroads Music,801 S 48th St Philadelphia  PA 19143,(215) 729-1028,na,http://crossroadsconcerts.org/?page_id=16,
Philabundance,3616 S Galloway St Philadelphia  PA 19148,(215) 339-0900,14+,http://www.philabundance.org/take-action/volunteer/, people
Swedesburg Volunteer Fire Company,310 Jefferson St Bridgeport  PA 19405,(610) 272-9853,16+,http://www.swedesburgfire.com/volunteer-form, medical
A Broader View,236 Glen Place Elkins Park  PA 19027,(215) 780-1845,na,https://www.abroaderview.org/,none
Retired Senior Volunteer Prog,9 S Bryn Mawr Ave Bryn Mawr  PA 19010,(610) 527-8806,na,http://www.rsvpmc.org/content/volunteer-now,people
Augustinia Volunteers,214 Ashwood Rd Villanova  PA 19085,(610) 527-3330,na,http://www.osavol.org/join/application,faith
Volunteer Medical Service Corporation,101 Sibley Ave Ardmore  PA 19003,(610) 645-7770,16+,http://www.vmsclansdale.org/, medical
Animal Care and Control Team of Philadelphia,111 W Hunting Park Ave Philadelphia  PA 19140,(267) 385-3800,na,http://www.acctphilly.org/how-to-help/volunteer/prospective/,animals
Elder NET,9 South Bryn Mawr Ave.Bryn Mawr  PA 19010,(610)525-0706,all,http://www.eldernetonline.org/volunteer.html,people
Friend Fitness Program - Youth Mentoring Partnership,Upper Main Line YMCA  1416 Berwyn-Paoli Road & Conestoga High School  200 Irish Rd Berwyn  PA 19312,(610)249-9631,17+,http://youthmp.org/get-involved/mentor,fitness
Hospital volunteers,@ Bryn Mawr Hospital & Lankenau Hospital & Paoli Hospital  and Bryn Mawr Rehab Hospital,,,,
Mommy's Light Lives on Fund,P.O. Box 494 Lionville  PA 19353,610.725.9790,na,http://www.familyliveson.org/,family
Pals For Life,939 Radnor Rd. Wayne PA 19087,610-687-1101,12+,http://palsforlife.org/cms/index.php/volunteer,animals
Riverbend Environmental Education Center,1950 Spring Mill Rd. Gladwyne  PA 19035,610.527.5234,na,http://www.riverbendeec.org/contact/,education